name,lat,lng
backapalanka,45.24751,19.39227
bajinabasta,43.97204,19.56504
balasevic,43.81002,21.88667
bar,42.09602,19.09537
beograd,44.80022,20.45893
berat,40.70188,19.93807
bijelopolje,43.03372,19.75379
bogetici,42.67814,18.97619
cavtat,42.57789,18.21989
donjimilanovac,44.46349,22.14943
drelaj,42.70066,20.12350
dubrovnik,42.64572,18.08685
gjirokaster,40.06168,20.09737
gorazde,43.66240,18.97675
gospic,44.54560,15.37120
grebaja,42.51738,19.78511
hercegnovi,42.45700,18.53082
hvar,43.16975,16.44169
ioannina,39.64247,20.84110
izlazak,43.06514,18.86212
jajce,44.33916,17.27045
jelsa,43.16182,16.69229
kastoria,40.51174,21.26292
kladovo,44.60053,22.62398
kolasin,42.80527,19.51189
korcula,42.95690,17.13707
kotor,42.42481,18.77115
kruje,41.50674,19.77063
latkovac,43.48640,20.98448
lepuse,42.52267,19.73086
lisine,44.09638,21.63928
loutraki,40.97128,21.94531
lovcen,42.37838,18.83879
matka,41.95044,21.29942
mileseva,43.37160,19.70836
mokragora,43.79407,19.51228
mostar,43.34230,17.82764
negotin,44.22944,22.53801
nerezisce,43.33034,16.57474
nevidio,42.97746,19.07283
nis,43.32220,21.90851
njegusi,42.42961,18.82616
novisad,45.25217,19.81601
ohrid,41.11799,20.80181
ostrog,42.67217,19.02961
pec,42.65958,20.29971
perast,42.48605,18.69987
podgorica,42.42685,19.25870
pomena,42.78781,17.34582
pristina,42.65716,21.16565
sarajevo,43.85052,18.41747
saranda,39.85174,20.02335
seline,44.27578,15.47995
sirogojno,43.68313,19.87697
sjenica,43.26985,20.00700
skadar,42.06565,19.51224
skorenovac,44.76345,20.90364
solun,40.63935,22.93316
split,43.51434,16.44272
srebrnojezero,44.76139,21.49096
stavna,42.71219,19.68232
tara,43.92360,19.33536
thethi,42.40453,19.76920
tirana,41.32754,19.82006
tivat,42.43142,18.69775
trebinje,42.70781,18.34949
trogir,43.51635,16.24965
valbona,42.44310,19.88287
valjevo,44.26799,19.88891
virpazar,42.24276,19.09041
visegrad,43.77788,19.29326
vranjak,42.84645,19.64297
vusanje,42.52430,19.84429
zabljak,43.15181,19.12308
zagreb,45.82093,15.98186
