idpoint,idprogram,daynumber,pointindex,location,lat,lng,idtype,description
29,3,1,1,bogetici,NULL,NULL,hotel,
30,3,1,1,mostar,NULL,NULL,hotel,
31,1,1,1,NULL,44.82020,20.43921,blank,
32,1,1,2,valjevo,NULL,NULL,hotel,
33,1,2,1,valjevo,NULL,NULL,hotel,
34,1,2,2,zabljak,NULL,NULL,hotel,
35,1,3,1,zabljak,NULL,NULL,hotel,
36,1,3,2,korcula,NULL,NULL,hotel,
37,1,4,1,korcula,NULL,NULL,hotel,
38,1,4,2,jelsa,NULL,NULL,activity,
39,1,4,3,split,NULL,NULL,hotel,
40,1,6,1,split,NULL,NULL,hotel,
41,1,6,2,trogir,NULL,NULL,hotel,
42,2,1,1,dubrovnik,NULL,NULL,flight,
43,2,1,2,podgorica,NULL,NULL,hotel,
44,2,2,1,podgorica,NULL,NULL,hotel,
45,2,2,2,stavna,NULL,NULL,hotel,
46,2,3,1,stavna,NULL,NULL,hotel,
47,2,3,2,vranjak,NULL,NULL,hotel,
48,2,4,1,vranjak,NULL,NULL,hotel,
49,2,4,2,mileseva,NULL,NULL,hotel,
50,2,5,1,mileseva,NULL,NULL,hotel,
51,2,5,2,sjenica,NULL,NULL,hotel,
52,2,6,1,sjenica,NULL,NULL,hotel,
53,2,6,2,zabljak,NULL,NULL,hotel,
54,2,7,1,zabljak,NULL,NULL,hotel,
55,2,8,1,zabljak,NULL,NULL,hotel,
56,2,8,2,trebinje,NULL,NULL,hotel,
57,2,9,1,trebinje,NULL,NULL,hotel,
58,2,9,2,dubrovnik,NULL,NULL,flight,
